"nutsid2","year","edu_none","edu_basic","edu_secondary","edu_superior","labour_family","labour_holder","labour_spouse","labour_other_family","labour_non_family","labour_regular","labour_non_regular","labour_not_hired","livestock_cattle","livestock_pigs","livestock_sheep","livestock_goats","livestock_equidae","livestock_poultry","livestock_rabbits","livestock_hives"
Alentejo,1989,75936,78136,14727,2628,49797,28449,15100,6270,34791,19867,14372,560,271664,585309,1442020,145658,19889,3438394,35034,67575
Alentejo,1999,37461,65000,9115,6584,33052,20446,8756,3868,23796,13901,9312,594,392367,657558,1403056,119953,15084,5762113,65040,57652
Alentejo,2009,17326,50446,8830,7542,21723,13862,5187,2715,21773,13594,6405,1786,534988,771977,1031704,103705,11038,3147177,27645,36486
Alentejo,2019,7749,39275,11285,10377,18061,11813,3803,2477,31089,20021,7369,3723,634097,929949,1086584,87836,9105,3984019,15576,111152
Algarve,1989,33413,29827,5650,1029,25536,14245,8253,3046,4527,2920,1511,105,23322,73818,68972,27921,9540,438439,9293,31786
Algarve,1999,17042,25846,3284,1800,13645,8093,3828,1734,3300,2066,1153,88,12008,67558,68217,22351,4465,222857,14265,43061
Algarve,2009,7105,17564,2588,1950,8927,5319,2391,1230,2508,1717,606,184,7922,23962,45009,15575,1860,74997,3726,35579
Algarve,2019,3357,16943,4028,3194,7134,4342,1649,1152,6583,3757,957,1875,9538,14274,40267,14366,1507,49876,1718,112646
Centro,1989,299663,361784,46286,7211,287496,129175,109541,48875,30174,11514,17764,900,318749,1030239,643998,282943,48316,17882238,210823,123844
Centro,1999,142932,254987,27181,14980,162901,82642,57583,22783,22504,10032,11778,701,237150,987901,696611,208529,26171,26965581,863121,94080
Centro,2009,54222,161706,21481,15081,100135,53968,33841,12400,16729,9266,6980,441,175287,751110,535710,148595,10970,24877116,517180,57331
Centro,2019,23079,136830,29305,21775,68267,37696,21338,9333,22033,14104,6732,1164,179858,936396,526163,132683,8151,41975623,376580,180944
Lisboa,1989,20000,25207,4388,774,19047,9928,6292,2829,6721,4322,2305,97,50126,279131,102076,11109,3242,1554892,20268,1332
Lisboa,1999,8564,16384,1894,1032,10190,5665,3061,1472,4300,2642,1588,60,45040,239287,77435,4920,2312,1782820,48590,2446
Lisboa,2009,3141,10442,1322,912,6038,3521,1702,814,3202,2284,871,44,39984,140585,54477,7448,2033,1163443,27768,677
Lisboa,2019,1140,7622,1868,1232,3757,2339,954,463,4778,3267,959,544,48250,97119,41807,7937,2032,1295879,2787,10953
Norte,1989,296992,350825,36664,6427,267197,111787,78954,76635,35873,14607,20200,1062,435506,218441,413414,190417,52668,4747801,169104,119682
Norte,1999,143689,244228,23497,14630,167767,78651,50963,38307,27649,11122,15474,1028,369927,168329,457228,135743,36988,4044166,548903,69314
Norte,2009,66441,179830,23787,19547,122268,63259,38521,20625,19355,8858,9492,837,299507,73573,389702,108661,24083,3296247,680657,53027
Norte,2019,30463,155262,33819,28209,89935,48286,27135,14672,24203,11610,10756,1761,278888,68313,317608,91033,14426,3658444,674305,246339
