NutsID,nutsid2,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,livestock_cattle,livestock_pigs,livestock_sheep,livestock_goats,livestock_equidae,livestock_poultry,livestock_rabbits,livestock_hives
111160101,Norte,160101,Aboim das Choças,2019,15,61,11,7,34,15,13,6,2,1,0,0,63,4,71,32,0,389,104,8
111160101,Norte,160101,Aboim das Choças,2009,30,57,4,4,50,24,19,8,1,0,0,0,65,18,58,12,1,447,92,3
111160101,Norte,160101,Aboim das Choças,1999,49,73,7,6,62,26,22,14,2,0,2,0,62,30,39,0,1,779,80,3
111160101,Norte,160101,Aboim das Choças,1989,167,97,4,0,163,70,55,38,6,1,5,0,123,35,49,4,0,925,80,29
111160102,Norte,160102,Aguiã,2019,24,68,5,2,70,38,27,5,3,0,2,0,52,13,157,46,0,562,69,180
111160102,Norte,160102,Aguiã,2009,23,82,8,4,66,38,20,7,2,1,1,0,76,9,104,45,5,527,121,2
111160102,Norte,160102,Aguiã,1999,71,99,2,2,78,37,25,16,4,0,3,0,107,9,151,82,7,866,50,1
111160102,Norte,160102,Aguiã,1989,94,220,2,0,178,66,55,57,5,0,5,0,130,23,114,24,0,1022,134,0
111160104,Norte,160104,Ázere,2019,3,48,12,5,18,11,5,2,1,0,1,0,68,19,82,52,0,407,85,0
111160104,Norte,160104,Ázere,2009,28,42,2,6,29,17,10,2,2,0,1,0,50,5,38,106,14,393,144,13
111160104,Norte,160104,Ázere,1999,46,56,0,2,55,24,20,11,5,0,5,0,69,29,16,3,4,710,40,1
111160104,Norte,160104,Ázere,1989,76,60,4,1,89,33,29,27,13,1,12,0,70,3,73,5,0,668,27,1
111160105,Norte,160105,Cabana Maior,2019,24,34,5,0,25,15,9,1,0,0,0,0,110,0,161,46,40,230,5,0
111160105,Norte,160105,Cabana Maior,2009,42,22,1,0,33,19,11,3,0,0,0,0,123,5,213,39,63,280,43,6
111160105,Norte,160105,Cabana Maior,1999,80,77,2,0,98,53,32,13,4,0,3,0,234,6,686,414,59,660,151,21
111160105,Norte,160105,Cabana Maior,1989,212,75,7,1,187,89,49,50,7,0,7,0,281,11,477,269,22,1104,57,2
111160106,Norte,160106,Cabreiro,2019,66,107,23,8,114,71,32,11,9,6,3,0,699,4,84,61,118,724,82,23
111160106,Norte,160106,Cabreiro,2009,152,104,8,4,177,90,57,30,2,0,1,0,697,12,278,124,187,1202,199,22
111160106,Norte,160106,Cabreiro,1999,209,108,1,1,234,113,70,51,2,0,2,0,745,49,487,601,270,1684,103,210
111160106,Norte,160106,Cabreiro,1989,402,290,1,0,423,174,113,135,27,2,25,0,872,86,913,890,125,2218,28,27
111160108,Norte,160108,Cendufe,2019,5,35,6,4,30,17,10,3,3,2,1,0,12,1,120,37,4,325,22,0
111160108,Norte,160108,Cendufe,2009,32,61,14,3,69,32,30,6,3,0,3,0,28,11,121,41,1,618,89,6
111160108,Norte,160108,Cendufe,1999,83,90,9,7,75,38,24,14,3,1,2,0,70,27,26,54,2,1069,176,6
111160108,Norte,160108,Cendufe,1989,117,150,13,1,165,65,54,47,15,2,13,0,140,17,72,37,1,1181,74,5
111160109,Norte,160109,Couto,2019,13,70,17,4,26,13,8,5,2,0,1,0,47,3,78,2,11,551,32,450
111160109,Norte,160109,Couto,2009,24,45,4,1,38,19,13,6,3,1,2,0,23,7,172,3,3,481,23,0
111160109,Norte,160109,Couto,1999,80,93,7,2,70,35,22,13,11,2,9,0,71,40,118,3,2,1303,261,0
111160109,Norte,160109,Couto,1989,161,133,19,0,167,63,64,40,22,11,12,0,131,23,129,10,2,1216,60,1
111160113,Norte,160113,Gavieira,2019,103,114,36,18,67,34,22,10,3,2,1,0,2170,12,11,367,15,462,111,77
111160113,Norte,160113,Gavieira,2009,111,113,10,3,135,72,49,14,2,1,1,0,1721,14,60,16,161,881,161,27
111160113,Norte,160113,Gavieira,1999,136,114,9,1,169,81,61,28,1,0,1,0,1199,5,49,834,120,713,40,3
111160113,Norte,160113,Gavieira,1989,258,176,1,0,256,116,72,68,13,0,12,0,1048,67,31,1239,28,1146,12,303
111160115,Norte,160115,Gondoriz,2019,34,219,29,16,144,77,49,18,6,1,5,0,780,2,358,756,126,1065,162,22
111160115,Norte,160115,Gondoriz,2009,108,185,21,3,170,80,51,39,5,1,3,1,494,11,761,1073,128,1480,285,0
111160115,Norte,160115,Gondoriz,1999,231,229,17,9,185,89,53,43,8,2,5,0,438,26,1033,945,40,2285,240,15
111160115,Norte,160115,Gondoriz,1989,362,338,19,4,456,171,131,154,18,0,17,0,454,71,666,633,15,2307,90,13
111160121,Norte,160121,Miranda,2019,40,72,3,2,58,36,17,5,1,0,1,0,116,8,327,19,38,702,182,11
111160121,Norte,160121,Miranda,2009,74,70,6,1,73,44,20,9,1,0,0,0,115,12,546,89,44,925,348,16
111160121,Norte,160121,Miranda,1999,141,72,6,1,123,59,39,24,1,0,1,0,164,23,436,15,9,787,241,0
111160121,Norte,160121,Miranda,1989,364,105,0,0,296,126,98,73,12,1,11,0,291,86,215,21,15,1530,126,0
111160122,Norte,160122,Monte Redondo,2019,5,55,6,3,16,9,4,3,0,0,0,0,26,2,45,10,21,494,27,0
111160122,Norte,160122,Monte Redondo,2009,35,61,3,5,42,22,16,5,2,0,2,0,42,8,119,29,10,677,201,1
111160122,Norte,160122,Monte Redondo,1999,57,104,2,3,98,46,36,16,17,4,13,0,79,10,82,12,13,856,139,0
111160122,Norte,160122,Monte Redondo,1989,188,101,2,3,162,65,66,31,15,6,9,0,146,34,42,46,2,1176,43,7
111160123,Norte,160123,Oliveira,2019,8,68,14,5,23,11,7,5,4,3,1,0,24,8,66,16,15,397,49,176
111160123,Norte,160123,Oliveira,2009,30,47,8,6,39,20,12,8,4,3,1,0,44,17,85,24,3,774,927,0
111160123,Norte,160123,Oliveira,1999,42,91,9,1,70,35,25,9,5,1,4,0,68,4,67,9,3,685,2295,0
111160123,Norte,160123,Oliveira,1989,113,69,6,0,100,44,38,19,7,1,5,0,107,27,40,3,1,796,32,2
111160124,Norte,160124,Paçô,2019,11,49,13,13,22,12,7,3,26,16,10,0,144,0,192,10,1,315,0,90
111160124,Norte,160124,Paçô,2009,13,57,12,13,49,23,18,8,22,18,4,0,77,7,93,20,17,489,157,1
111160124,Norte,160124,Paçô,1999,27,51,22,8,50,26,17,7,37,27,11,0,127,12,81,57,4,868,107,19
111160124,Norte,160124,Paçô,1989,85,99,11,1,118,47,36,36,29,24,6,0,168,8,25,1,0,1118,34,4
111160125,Norte,160125,Padroso,2019,9,29,3,2,30,13,10,7,6,6,0,0,246,0,105,15,2,285,17,25
111160125,Norte,160125,Padroso,2009,38,78,10,0,87,44,27,16,0,0,0,0,80,4,232,25,1,490,164,36
111160125,Norte,160125,Padroso,1999,82,84,8,5,98,47,31,20,1,0,1,0,153,16,205,18,0,672,94,6
111160125,Norte,160125,Padroso,1989,229,80,0,0,193,70,54,70,4,1,3,0,174,88,195,122,1,1046,150,35
111160128,Norte,160128,Prozelo,2019,28,88,17,1,80,46,33,2,2,1,1,0,134,26,396,113,13,694,88,0
111160128,Norte,160128,Prozelo,2009,60,79,10,1,61,35,20,6,3,0,2,0,154,15,94,51,9,594,182,1
111160128,Norte,160128,Prozelo,1999,122,102,4,6,105,56,35,15,11,3,8,0,204,19,92,82,10,1185,97,0
111160128,Norte,160128,Prozelo,1989,190,195,5,0,238,92,87,60,12,2,10,0,186,31,108,10,3,1389,122,42
111160130,Norte,160130,Rio Frio,2019,41,88,19,3,41,26,12,4,2,0,1,0,192,7,279,54,23,794,125,22
111160130,Norte,160130,Rio Frio,2009,102,167,23,1,212,118,69,24,1,0,0,0,185,35,856,224,57,1170,346,22
111160130,Norte,160130,Rio Frio,1999,246,143,9,3,243,122,79,42,6,2,3,0,244,33,683,225,138,1800,321,1
111160130,Norte,160130,Rio Frio,1989,523,285,6,1,516,214,169,134,10,6,4,0,366,127,513,200,31,2796,67,6
111160131,Norte,160131,Rio de Moinhos,2019,38,49,12,7,58,35,17,7,2,0,1,0,92,5,105,24,3,568,67,0
111160131,Norte,160131,Rio de Moinhos,2009,23,82,5,4,70,41,22,7,1,0,1,0,53,8,135,5,0,504,67,0
111160131,Norte,160131,Rio de Moinhos,1999,128,81,4,1,92,47,32,14,4,1,3,0,111,17,169,10,25,1084,106,0
111160131,Norte,160131,Rio de Moinhos,1989,212,212,11,1,275,116,88,72,9,1,8,0,178,60,203,45,0,1734,104,0
111160133,Norte,160133,Sabadim,2019,13,73,10,3,48,26,19,3,1,0,1,0,27,9,171,1,1,488,76,26
111160133,Norte,160133,Sabadim,2009,50,93,8,3,80,38,27,16,2,1,2,0,47,2,168,11,7,571,144,13
111160133,Norte,160133,Sabadim,1999,135,134,5,2,128,56,44,28,6,0,5,0,121,10,192,42,1,1096,169,7
111160133,Norte,160133,Sabadim,1989,238,254,20,1,326,137,94,95,10,1,8,0,247,67,199,58,5,2177,136,12
111160142,Norte,160142,Jolda (São Paio),2019,4,33,11,10,31,17,10,4,10,8,2,0,7,2,89,2,1,434,22,137
111160142,Norte,160142,Jolda (São Paio),2009,11,62,14,7,48,22,17,9,5,2,3,0,35,6,46,7,0,801,84,6
111160142,Norte,160142,Jolda (São Paio),1999,58,104,17,7,83,32,26,25,5,2,3,0,71,19,35,8,0,922,177,4
111160142,Norte,160142,Jolda (São Paio),1989,82,186,12,2,151,47,45,58,27,9,17,0,101,36,23,11,0,1614,102,19
111160144,Norte,160144,Senharei,2019,16,59,3,1,43,22,15,7,1,1,0,0,156,3,117,118,13,338,86,0
111160144,Norte,160144,Senharei,2009,43,86,12,1,98,52,27,20,1,0,0,0,123,4,286,160,44,423,155,15
111160144,Norte,160144,Senharei,1999,130,99,3,0,88,40,26,22,1,0,0,1,172,34,405,201,6,773,75,1
111160144,Norte,160144,Senharei,1989,197,159,1,0,271,102,60,109,5,0,5,0,212,84,557,237,2,1203,10,0
111160145,Norte,160145,Sistelo,2019,46,73,10,6,92,51,27,15,2,1,0,1,743,17,125,68,72,496,34,27
111160145,Norte,160145,Sistelo,2009,90,96,7,0,116,58,40,18,1,0,0,0,708,0,212,72,181,651,128,8
111160145,Norte,160145,Sistelo,1999,186,106,4,0,181,93,54,35,2,0,1,0,696,10,234,43,130,1089,95,0
111160145,Norte,160145,Sistelo,1989,232,186,2,0,278,118,63,96,25,3,22,0,752,58,537,72,58,1415,90,100
111160146,Norte,160146,Soajo,2019,44,173,42,9,101,61,27,13,11,8,3,1,845,8,601,423,160,852,157,118
